age_group,gender,mean_ln_pack_years_smokers,std_ln_pack_years_smokers,mean_pack_years_smokers,std_pack_years_smokers,mean_ln_pack_years_quitters_all,std_ln_pack_years_quitters_all,mean_pack_years_quitters_all,std_pack_years_quitters_all,mean_ln_pack_years_quitters_excl_10,std_ln_pack_years_quitters_excl_10,mean_pack_years_quitters_excl_10,std_pack_years_quitters_excl_10,mean_ln_pack_years_quitters_excl_15,std_ln_pack_years_quitters_excl_15,mean_pack_years_quitters_excl_15,std_pack_years_quitters_excl_15
0 - 14,Male,,,,,,,,,,,,,,,,
0 - 14,Female,,,,,,,,,,,,,,,,
15-19,Male,-1.1199820712644495,,0.32628464445963273,,,,,,,,,,,,,
15-19,Female,-0.5687352665834244,0.5795533676978472,0.6300873358353568,0.34076586567182676,,,,,,,,,,,,
20-24,Male,0.2910636638239684,1.1586868786337112,2.225232075404876,2.148743887935675,0.38086314030777046,0.14736240018947025,1.471498962959474,0.2160623418794867,,,,,,,,
20-24,Female,-0.04553990757550086,1.0094824329126548,1.2880899242526145,0.7952803714208541,,,,,,,,,,,,
25-29,Male,0.9260402526835548,0.7330873927850817,3.0588813251041733,1.8915272184306837,-1.1577037817451106,2.2376956433423985,1.1558565539569254,1.7401144764445162,,,,,,,,
25-29,Female,1.5161596094938468,0.21177248807651414,4.640026700769764,0.9727134759291169,1.3877073116227594,,4.005654796750957,,,,,,,,,
30-34,Male,1.9364988664038334,0.9469933219972815,9.210630008079592,5.703880453756838,1.1477990912254294,1.250950577367278,5.232320100107977,4.747117789080119,-0.0164603810959172,,0.9836733507184164,,,,,
30-34,Female,2.1969134315697834,0.4054245921223576,9.676321199512374,3.816526555730625,0.9232749872079737,1.1103472388834328,4.217646281557973,4.549952993294697,,,,,,,,
35-39,Male,2.2835935627552333,0.8878892625473751,13.097487268422597,8.715131374179142,2.0185433235940637,1.2193138719121643,12.815477706980959,13.463382612925491,-0.0164603810959172,,0.9836733507184164,,-0.0164603810959172,,0.9836733507184164,
35-39,Female,2.052066480753757,0.9993738964391791,10.934151821206692,7.721302887872642,1.6328925258460185,0.9442659822726901,7.64390270859916,6.899896773898736,0.9904909222981494,0.49676643740795945,2.93763130218747,1.5705509072435624,,,,
40-44,Male,2.85624748733983,0.560286596703683,19.66735168921442,9.34356359757177,2.042310948162533,0.7719145060706933,9.975840994779107,8.005827287016091,1.5356982114905637,0.5194428211161851,5.108861907768499,2.8546647994791154,1.3298071998507586,,3.780313472109132,
40-44,Female,2.797344238939723,0.44366512820371007,17.6296620670394,7.492252338504522,1.8300871309882287,0.8847492982164655,8.459838370153028,6.613426224295881,1.3347558734186773,0.7313180894699045,4.649213236176616,3.4404310232500284,0.5664225332393544,,1.761951436730067,
45-49,Male,2.85048227313353,0.42013029792295425,18.712018613906803,7.9685180455956415,1.7602200236951042,1.8887832669008948,14.336223054961511,12.636629639495204,0.7612486700533403,1.9999494951778587,8.327055584222563,13.920530808383054,-0.1089546093877779,1.2067205515747197,1.3918677808187898,1.4459556597039542
45-49,Female,2.401853455372855,0.7170724294733994,13.537866578364037,8.727885840037303,1.1814889419045609,2.0944242876171333,9.771402485944153,13.932278173639277,0.12216526083475367,2.2845139457827304,4.086907196746668,5.658253303171145,0.7595087662145948,1.617280765993623,5.076204451615553,6.822613849769377
50-54,Male,3.271857151181133,0.5580789105840676,29.645983292393073,16.00186334760671,1.7155598410682893,1.30181099603407,11.297521701101438,13.559112685746621,1.3907916559569897,1.1520989676630937,7.916581855656418,12.003385532510615,0.835204536245858,0.40414642389826455,2.4420505349319064,1.064830214957366
50-54,Female,2.9379464451392234,0.5798175168546831,21.416504979601076,10.07682212237255,2.2840704861762378,1.2499488844507813,14.449246162796289,8.5470187341099,1.4158299723931862,1.4599910945398178,7.123006480753449,6.345972693455668,0.763497858894338,1.5682652827248875,3.791516007649248,3.4873575185675856
55-59,Male,3.1174756911327046,0.9159378001812845,28.59684301053467,14.149148562082203,2.174835371839743,1.3450073430137264,14.979397167490744,12.5056617721949,1.9845822241998992,1.30198898879655,11.811756774861111,8.690623219300717,2.2159117814751563,0.9520407218827708,12.193587469818183,8.050796624240617
55-59,Female,3.392858127842405,0.522205735769553,32.72128744970858,12.1189328607954,2.191819992700224,1.0009496250104863,12.719441517279398,9.185915930043526,1.683238323451204,0.9778399681454449,7.795512322778588,6.848610478586718,1.683238323451204,0.9778399681454449,7.795512322778588,6.848610478586718
60-64,Male,3.4377823259587705,1.1455108947205064,38.09804842697894,19.12360592124842,3.0195027097278455,1.06436835987835,28.3538056894925,16.66318571709771,2.897427063085948,1.2621584722926424,27.504978782442052,19.573166544762433,2.325594215149373,1.5705758125692968,17.623201272807066,14.513844612439112
60-64,Female,3.084746787125097,0.43475320014232394,23.438132959765824,8.606792134889726,2.4716489055197113,1.8588045067413745,23.584950093103572,21.206894181013364,1.0529506078269277,1.5040489324900632,5.626225721658815,5.569329055242287,1.4113092926478974,1.6194811221706342,7.175595453611275,5.667703220053629
65-69,Male,3.7787911552953193,0.4657578381544172,43.553836347268565,13.88305667114491,3.058064382580705,1.0910585992287984,28.251678327574037,20.466949447318335,2.767983405751609,0.9716073943396285,23.36848733395561,19.435006156497998,2.767983405751609,0.9716073943396285,23.36848733395561,19.435006156497998
65-69,Female,3.0369605584903474,0.48456983431686035,22.83000647619905,9.997477474629429,2.149172776523118,2.112970939445782,19.567645579153165,20.13095451885335,1.9397744026709323,2.1907781461605564,19.85127136327326,20.613307733944744,1.9397744026709323,2.1907781461605564,19.85127136327326,20.613307733944744
70-74,Male,3.427757145248673,0.7319295278118816,36.02964934924819,21.599822941567442,3.429664733724796,0.40251935417031337,32.97622818079278,11.255220553465678,3.416948475699674,0.4196302313348304,32.746759371496566,11.775097891026903,3.3767894510809766,0.4194564090827644,31.467673753071534,11.578537142843558
70-74,Female,3.2487175547936378,0.6229616609677455,29.809180968826276,18.9743595121429,3.0212537813690448,0.7049176465038007,24.705049926291995,14.422919948736109,2.9043693290684156,0.6939236805515122,21.927527285084,13.59491944914815,2.77457746163606,0.6896144768280752,19.327154445667755,13.42805837625941
