year,age_group,gender,population
2049,70-74,Male,179904
2049,75-79,Male,153893
2049,80-84,Male,114367
2049,85-89,Male,75341
2049,90-94,Male,37076
2049,95-99,Male,12641
2050,0-4,Female,128361
2050,10-14,Female,134180
2050,15-19,Female,139492
2050,20-24,Female,147663
2050,25-29,Female,166314
2050,30-34,Female,190428
2050,35-39,Female,221950
2050,40-44,Female,232730
2050,45-49,Female,217255
2050,5-9,Female,133827
2050,50-54,Female,206687
2050,55-59,Female,203243
2050,60-64,Female,217154
2050,65-69,Female,229166
2050,70-74,Female,200057
2050,75-79,Female,169896
2050,80-84,Female,133556
2050,85-89,Female,98595
2050,90-94,Female,54965
2050,95-99,Female,22933
2050,0-4,Male,135224
2050,10-14,Male,141522
2050,15-19,Male,144987
2050,20-24,Male,150369
2050,25-29,Male,166812
2050,30-34,Male,188469
2050,35-39,Male,217307
2050,40-44,Male,222190
2050,45-49,Male,205706
2050,5-9,Male,141140
2050,50-54,Male,196182
2050,55-59,Male,186036
2050,60-64,Male,192653
2050,65-69,Male,205556
2050,70-74,Male,185599
2050,75-79,Male,156628
2050,80-84,Male,117622
2050,85-89,Male,78078
2050,90-94,Male,38797
2050,95-99,Male,13327
2051,0-4,Female,127260
2051,10-14,Female,134678
2051,15-19,Female,139030
2051,20-24,Female,146306
2051,25-29,Female,165115
2051,30-34,Female,186116
2051,35-39,Female,218416
2051,40-44,Female,236730
2051,45-49,Female,220407
2051,5-9,Female,134034
2051,50-54,Female,209220
2051,55-59,Female,201199
2051,60-64,Female,214274
2051,65-69,Female,227311
2051,70-74,Female,207656
2051,75-79,Female,173097
2051,80-84,Female,137254
2051,85-89,Female,100882
2051,90-94,Female,57518
2051,95-99,Female,23961
2051,0-4,Male,134065
2051,10-14,Male,142049
2051,15-19,Male,144505
2051,20-24,Male,148943
2051,25-29,Male,165673
2051,30-34,Male,184194
2051,35-39,Male,213922
2051,40-44,Male,225985
2051,45-49,Male,208873
2051,5-9,Male,141357
2051,50-54,Male,198492
2051,55-59,Male,185576
2051,60-64,Male,190994
2051,65-69,Male,202069
2051,70-74,Male,191159
2051,75-79,Male,159128
2051,80-84,Male,121295
2051,85-89,Male,80379
2051,90-94,Male,40665
2051,95-99,Male,13945
2052,0-4,Female,125944
2052,10-14,Female,135395
2052,15-19,Female,138678
2052,20-24,Female,145199
2052,25-29,Female,162835
2052,30-34,Female,183635
2052,35-39,Female,214364
2052,40-44,Female,238741
2052,45-49,Female,223663
2052,5-9,Female,133965
2052,50-54,Female,211850
2052,55-59,Female,200465
2052,60-64,Female,211563
2052,65-69,Female,224672
2052,70-74,Female,215126
2052,75-79,Female,175474
2052,80-84,Female,141795
2052,85-89,Female,103128
2052,90-94,Female,60098
2052,95-99,Female,25045
2052,0-4,Male,132679
2052,10-14,Male,142806
2052,15-19,Male,144137
2052,20-24,Male,147788
2052,25-29,Male,163364
2052,30-34,Male,181864
2052,35-39,Male,209363
2052,40-44,Male,228505
2052,45-49,Male,212385
2052,5-9,Male,141284
2052,50-54,Male,200461
2052,55-59,Male,187039
2052,60-64,Male,189106
2052,65-69,Male,198386
2052,70-74,Male,195868
2052,75-79,Male,160946
2052,80-84,Male,125514
2052,85-89,Male,82668
2052,90-94,Male,42671
2052,95-99,Male,14703
2053,0-4,Female,124490
2053,10-14,Female,136290
2053,15-19,Female,138393
2053,20-24,Female,144305
2053,25-29,Female,160229
2053,30-34,Female,182486
2053,35-39,Female,209668
2053,40-44,Female,238097
2053,45-49,Female,228585
2053,5-9,Female,133639
2053,50-54,Female,214093
2053,55-59,Female,202041
2053,60-64,Female,208602
2053,65-69,Female,221031
2053,70-74,Female,221496
2053,75-79,Female,178071
2053,80-84,Female,146328
2053,85-89,Female,105339
2053,90-94,Female,62627
2053,95-99,Female,26158
2053,0-4,Male,131146
2053,10-14,Male,143749
2053,15-19,Male,143838
2053,20-24,Male,146851
2053,25-29,Male,160621
2053,30-34,Male,180432
2053,35-39,Male,204907
2053,40-44,Male,228545
2053,45-49,Male,216942
2053,5-9,Male,140942
2053,50-54,Male,202162
2053,55-59,Male,189892
2053,60-64,Male,188091
2053,65-69,Male,194773
2053,70-74,Male,199008
2053,75-79,Male,162535
2053,80-84,Male,129495
2053,85-89,Male,85050
2053,90-94,Male,44699
2053,95-99,Male,15351
2054,0-4,Female,122986
2054,10-14,Female,136986
2054,15-19,Female,138413
2054,20-24,Female,143594
2054,25-29,Female,158510
2054,30-34,Female,180413
2054,35-39,Female,205382
2054,40-44,Female,236274
2054,45-49,Female,233148
2054,5-9,Female,133036
2054,50-54,Female,216608
2054,55-59,Female,204843
2054,60-64,Female,206360
2054,65-69,Female,217196
2054,70-74,Female,224133
2054,75-79,Female,183101
2054,80-84,Female,150810
2054,85-89,Female,107158
2054,90-94,Female,65290
2054,95-99,Female,27232
2054,0-4,Male,129562
2054,10-14,Male,144481
2054,15-19,Male,143859
2054,20-24,Male,146110
2054,25-29,Male,158815
2054,30-34,Male,178333
2054,35-39,Male,200444
2054,40-44,Male,227155
2054,45-49,Male,221581
2054,5-9,Male,140308
2054,50-54,Male,204154
2054,55-59,Male,193832
2054,60-64,Male,187324
2054,65-69,Male,191136
2054,70-74,Male,199562
2054,75-79,Male,165971
2054,80-84,Male,132895
2054,85-89,Male,87449
2054,90-94,Male,46676
2054,95-99,Male,16106
2055,0-4,Female,121460
2055,10-14,Female,137442
2055,15-19,Female,138681
2055,20-24,Female,143022
2055,25-29,Female,156971
2055,30-34,Female,178403
2055,35-39,Female,201436
2055,40-44,Female,233145
2055,45-49,Female,238024
2055,5-9,Female,132177
2055,50-54,Female,218609
2055,55-59,Female,207994
2055,60-64,Female,204166
2055,65-69,Female,214857
2055,70-74,Female,223132
2055,75-79,Female,190260
2055,80-84,Female,153892
2055,85-89,Female,109889
2055,90-94,Female,67919
2055,95-99,Female,28652
2055,0-4,Male,127954
2055,10-14,Male,144960
2055,15-19,Male,144143
2055,20-24,Male,145517
2055,25-29,Male,157200
2055,30-34,Male,176485
2055,35-39,Male,196062
2055,40-44,Male,224441
2055,45-49,Male,225770
2055,5-9,Male,139404
2055,50-54,Male,206902
2055,55-59,Male,197355
2055,60-64,Male,186501
2055,65-69,Male,189095
2055,70-74,Male,196820
2055,75-79,Male,171472
2055,80-84,Male,135528
2055,85-89,Male,90350
2055,90-94,Male,48707
2055,95-99,Male,17029
2056,0-4,Female,119947
2056,10-14,Female,137649
2056,15-19,Female,139180
2056,20-24,Female,142561
2056,25-29,Female,155617
2056,30-34,Female,177207
2056,35-39,Female,197134
2056,40-44,Female,229623
2056,45-49,Female,242025
2056,5-9,Female,131076
2056,50-54,Female,221759
2056,55-59,Female,210531
2056,60-64,Female,202182
2056,65-69,Female,212093
2056,70-74,Female,221431
2056,75-79,Female,197632
2056,80-84,Female,157000
2056,85-89,Female,113290
2056,90-94,Female,69827
2056,95-99,Female,30192
2056,0-4,Male,126361
2056,10-14,Male,145177
2056,15-19,Male,144671
2056,20-24,Male,145038
2056,25-29,Male,155779
2056,30-34,Male,175351
2056,35-39,Male,191801
2056,40-44,Male,221075
2056,45-49,Male,229563
2056,5-9,Male,138245
2056,50-54,Male,210067
2056,55-59,Male,199670
2056,60-64,Male,186108
2056,65-69,Male,187574
2056,70-74,Male,193638
2056,75-79,Male,176821
2056,80-84,Male,137961
2056,85-89,Male,93542
2056,90-94,Male,50449
2056,95-99,Male,17978
2057,0-4,Female,118485
2057,10-14,Female,137580
2057,15-19,Female,139897
2057,20-24,Female,142211
2057,25-29,Female,154511
2057,30-34,Female,174929
2057,35-39,Female,194658
2057,40-44,Female,225583
2057,45-49,Female,244037
2057,5-9,Female,129760
2057,50-54,Female,225015
2057,55-59,Female,213166
2057,60-64,Female,201497
2057,65-69,Female,209494
2057,70-74,Female,218976
2057,75-79,Female,204864
2057,80-84,Female,159397
2057,85-89,Female,117411
2057,90-94,Female,71736
2057,95-99,Female,31749
2057,0-4,Male,124821
2057,10-14,Male,145103
2057,15-19,Male,145431
2057,20-24,Male,144673
2057,25-29,Male,154628
2057,30-34,Male,173050
2057,35-39,Male,189484
2057,40-44,Male,216537
2057,45-49,Male,232084
2057,5-9,Male,136859
2057,50-54,Male,213578
2057,55-59,Male,201650
2057,60-64,Male,187602
2057,65-69,Male,185825
2057,70-74,Male,190274
2057,75-79,Male,181362
2057,80-84,Male,139855
2057,85-89,Male,97199
2057,90-94,Male,52245
2057,95-99,Male,19047
