"Statistic Label","Year","Age","Sex","Criteria for Projection","UNIT","VALUE"
"Population Projections based on Census 2022","2022","Under 1 year","Male","Method - M2","Number","29546"
"Population Projections based on Census 2022","2022","Under 1 year","Female","Method - M2","Number","28138"
"Population Projections based on Census 2022","2022","1 year","Male","Method - M2","Number","28985"
"Population Projections based on Census 2022","2022","1 year","Female","Method - M2","Number","27646"
"Population Projections based on Census 2022","2022","2 years","Male","Method - M2","Number","30263"
"Population Projections based on Census 2022","2022","2 years","Female","Method - M2","Number","28987"
"Population Projections based on Census 2022","2022","3 years","Male","Method - M2","Number","31050"
"Population Projections based on Census 2022","2022","3 years","Female","Method - M2","Number","29546"
"Population Projections based on Census 2022","2022","4 years","Male","Method - M2","Number","31743"
"Population Projections based on Census 2022","2022","4 years","Female","Method - M2","Number","29930"
"Population Projections based on Census 2022","2022","5 years","Male","Method - M2","Number","32787"
"Population Projections based on Census 2022","2022","5 years","Female","Method - M2","Number","31445"
"Population Projections based on Census 2022","2022","6 years","Male","Method - M2","Number","34168"
"Population Projections based on Census 2022","2022","6 years","Female","Method - M2","Number","32735"
"Population Projections based on Census 2022","2022","7 years","Male","Method - M2","Number","35529"
"Population Projections based on Census 2022","2022","7 years","Female","Method - M2","Number","33655"
"Population Projections based on Census 2022","2022","8 years","Male","Method - M2","Number","36369"
"Population Projections based on Census 2022","2022","8 years","Female","Method - M2","Number","34547"
"Population Projections based on Census 2022","2022","9 years","Male","Method - M2","Number","37048"
"Population Projections based on Census 2022","2022","9 years","Female","Method - M2","Number","35296"
"Population Projections based on Census 2022","2022","10 years","Male","Method - M2","Number","38187"
"Population Projections based on Census 2022","2022","10 years","Female","Method - M2","Number","36175"
"Population Projections based on Census 2022","2022","11 years","Male","Method - M2","Number","38391"
"Population Projections based on Census 2022","2022","11 years","Female","Method - M2","Number","36918"
"Population Projections based on Census 2022","2022","12 years","Male","Method - M2","Number","39036"
"Population Projections based on Census 2022","2022","12 years","Female","Method - M2","Number","37373"
"Population Projections based on Census 2022","2022","13 years","Male","Method - M2","Number","38484"
"Population Projections based on Census 2022","2022","13 years","Female","Method - M2","Number","36847"
"Population Projections based on Census 2022","2022","14 years","Male","Method - M2","Number","37415"
"Population Projections based on Census 2022","2022","14 years","Female","Method - M2","Number","36053"
"Population Projections based on Census 2022","2022","15 years","Male","Method - M2","Number","35939"
"Population Projections based on Census 2022","2022","15 years","Female","Method - M2","Number","34346"
"Population Projections based on Census 2022","2022","16 years","Male","Method - M2","Number","34734"
"Population Projections based on Census 2022","2022","16 years","Female","Method - M2","Number","33188"
"Population Projections based on Census 2022","2022","17 years","Male","Method - M2","Number","34981"
"Population Projections based on Census 2022","2022","17 years","Female","Method - M2","Number","32859"
"Population Projections based on Census 2022","2022","18 years","Male","Method - M2","Number","33907"
"Population Projections based on Census 2022","2022","18 years","Female","Method - M2","Number","32760"
"Population Projections based on Census 2022","2022","19 years","Male","Method - M2","Number","33066"
"Population Projections based on Census 2022","2022","19 years","Female","Method - M2","Number","31996"
"Population Projections based on Census 2022","2022","20 years","Male","Method - M2","Number","32481"
"Population Projections based on Census 2022","2022","20 years","Female","Method - M2","Number","31804"
"Population Projections based on Census 2022","2022","21 years","Male","Method - M2","Number","31460"
"Population Projections based on Census 2022","2022","21 years","Female","Method - M2","Number","30556"
"Population Projections based on Census 2022","2022","22 years","Male","Method - M2","Number","31905"
"Population Projections based on Census 2022","2022","22 years","Female","Method - M2","Number","31243"
"Population Projections based on Census 2022","2022","23 years","Male","Method - M2","Number","31423"
"Population Projections based on Census 2022","2022","23 years","Female","Method - M2","Number","30487"
"Population Projections based on Census 2022","2022","24 years","Male","Method - M2","Number","30737"
"Population Projections based on Census 2022","2022","24 years","Female","Method - M2","Number","29845"
"Population Projections based on Census 2022","2022","25 years","Male","Method - M2","Number","30489"
"Population Projections based on Census 2022","2022","25 years","Female","Method - M2","Number","29810"
"Population Projections based on Census 2022","2022","26 years","Male","Method - M2","Number","29700"
"Population Projections based on Census 2022","2022","26 years","Female","Method - M2","Number","29228"
"Population Projections based on Census 2022","2022","27 years","Male","Method - M2","Number","29492"
"Population Projections based on Census 2022","2022","27 years","Female","Method - M2","Number","29882"
"Population Projections based on Census 2022","2022","28 years","Male","Method - M2","Number","29191"
"Population Projections based on Census 2022","2022","28 years","Female","Method - M2","Number","30009"
"Population Projections based on Census 2022","2022","29 years","Male","Method - M2","Number","30220"
"Population Projections based on Census 2022","2022","29 years","Female","Method - M2","Number","31113"
"Population Projections based on Census 2022","2022","30 years","Male","Method - M2","Number","31289"
"Population Projections based on Census 2022","2022","30 years","Female","Method - M2","Number","33291"
"Population Projections based on Census 2022","2022","31 years","Male","Method - M2","Number","32386"
"Population Projections based on Census 2022","2022","31 years","Female","Method - M2","Number","33897"
"Population Projections based on Census 2022","2022","32 years","Male","Method - M2","Number","32518"
"Population Projections based on Census 2022","2022","32 years","Female","Method - M2","Number","34641"
"Population Projections based on Census 2022","2022","33 years","Male","Method - M2","Number","32003"
"Population Projections based on Census 2022","2022","33 years","Female","Method - M2","Number","34714"
"Population Projections based on Census 2022","2022","34 years","Male","Method - M2","Number","33231"
"Population Projections based on Census 2022","2022","34 years","Female","Method - M2","Number","36556"
"Population Projections based on Census 2022","2022","35 years","Male","Method - M2","Number","35118"
"Population Projections based on Census 2022","2022","35 years","Female","Method - M2","Number","38447"
"Population Projections based on Census 2022","2022","36 years","Male","Method - M2","Number","35934"
"Population Projections based on Census 2022","2022","36 years","Female","Method - M2","Number","39277"
"Population Projections based on Census 2022","2022","37 years","Male","Method - M2","Number","36580"
"Population Projections based on Census 2022","2022","37 years","Female","Method - M2","Number","39571"
"Population Projections based on Census 2022","2022","38 years","Male","Method - M2","Number","37770"
"Population Projections based on Census 2022","2022","38 years","Female","Method - M2","Number","41246"
"Population Projections based on Census 2022","2022","39 years","Male","Method - M2","Number","38941"
"Population Projections based on Census 2022","2022","39 years","Female","Method - M2","Number","42926"
"Population Projections based on Census 2022","2022","40 years","Male","Method - M2","Number","40992"
"Population Projections based on Census 2022","2022","40 years","Female","Method - M2","Number","43855"
"Population Projections based on Census 2022","2022","41 years","Male","Method - M2","Number","41594"
"Population Projections based on Census 2022","2022","41 years","Female","Method - M2","Number","43916"
"Population Projections based on Census 2022","2022","42 years","Male","Method - M2","Number","41906"
"Population Projections based on Census 2022","2022","42 years","Female","Method - M2","Number","43656"
"Population Projections based on Census 2022","2022","43 years","Male","Method - M2","Number","39469"
"Population Projections based on Census 2022","2022","43 years","Female","Method - M2","Number","41612"
"Population Projections based on Census 2022","2022","44 years","Male","Method - M2","Number","38112"
"Population Projections based on Census 2022","2022","44 years","Female","Method - M2","Number","39614"
"Population Projections based on Census 2022","2022","45 years","Male","Method - M2","Number","38181"
"Population Projections based on Census 2022","2022","45 years","Female","Method - M2","Number","38925"
"Population Projections based on Census 2022","2022","46 years","Male","Method - M2","Number","37494"
"Population Projections based on Census 2022","2022","46 years","Female","Method - M2","Number","38327"
"Population Projections based on Census 2022","2022","47 years","Male","Method - M2","Number","37191"
"Population Projections based on Census 2022","2022","47 years","Female","Method - M2","Number","37661"
"Population Projections based on Census 2022","2022","48 years","Male","Method - M2","Number","36716"
"Population Projections based on Census 2022","2022","48 years","Female","Method - M2","Number","37348"
"Population Projections based on Census 2022","2022","49 years","Male","Method - M2","Number","36901"
"Population Projections based on Census 2022","2022","49 years","Female","Method - M2","Number","37261"
"Population Projections based on Census 2022","2022","50 years","Male","Method - M2","Number","36699"
"Population Projections based on Census 2022","2022","50 years","Female","Method - M2","Number","36829"
"Population Projections based on Census 2022","2022","51 years","Male","Method - M2","Number","35102"
"Population Projections based on Census 2022","2022","51 years","Female","Method - M2","Number","35246"
"Population Projections based on Census 2022","2022","52 years","Male","Method - M2","Number","34538"
"Population Projections based on Census 2022","2022","52 years","Female","Method - M2","Number","34618"
"Population Projections based on Census 2022","2022","53 years","Male","Method - M2","Number","32837"
"Population Projections based on Census 2022","2022","53 years","Female","Method - M2","Number","32392"
"Population Projections based on Census 2022","2022","54 years","Male","Method - M2","Number","32266"
"Population Projections based on Census 2022","2022","54 years","Female","Method - M2","Number","32352"
"Population Projections based on Census 2022","2022","55 years","Male","Method - M2","Number","31799"
"Population Projections based on Census 2022","2022","55 years","Female","Method - M2","Number","31962"
"Population Projections based on Census 2022","2022","56 years","Male","Method - M2","Number","30921"
"Population Projections based on Census 2022","2022","56 years","Female","Method - M2","Number","31438"
"Population Projections based on Census 2022","2022","57 years","Male","Method - M2","Number","31079"
"Population Projections based on Census 2022","2022","57 years","Female","Method - M2","Number","32022"
"Population Projections based on Census 2022","2022","58 years","Male","Method - M2","Number","30029"
"Population Projections based on Census 2022","2022","58 years","Female","Method - M2","Number","30879"
"Population Projections based on Census 2022","2022","59 years","Male","Method - M2","Number","29408"
"Population Projections based on Census 2022","2022","59 years","Female","Method - M2","Number","30207"
"Population Projections based on Census 2022","2022","60 years","Male","Method - M2","Number","29163"
"Population Projections based on Census 2022","2022","60 years","Female","Method - M2","Number","29757"
"Population Projections based on Census 2022","2022","61 years","Male","Method - M2","Number","28010"
"Population Projections based on Census 2022","2022","61 years","Female","Method - M2","Number","29099"
"Population Projections based on Census 2022","2022","62 years","Male","Method - M2","Number","27386"
"Population Projections based on Census 2022","2022","62 years","Female","Method - M2","Number","28139"
"Population Projections based on Census 2022","2022","63 years","Male","Method - M2","Number","26138"
"Population Projections based on Census 2022","2022","63 years","Female","Method - M2","Number","26509"
"Population Projections based on Census 2022","2022","64 years","Male","Method - M2","Number","25318"
"Population Projections based on Census 2022","2022","64 years","Female","Method - M2","Number","26315"
"Population Projections based on Census 2022","2022","65 years","Male","Method - M2","Number","25345"
"Population Projections based on Census 2022","2022","65 years","Female","Method - M2","Number","25646"
"Population Projections based on Census 2022","2022","66 years","Male","Method - M2","Number","24004"
"Population Projections based on Census 2022","2022","66 years","Female","Method - M2","Number","24867"
"Population Projections based on Census 2022","2022","67 years","Male","Method - M2","Number","23827"
"Population Projections based on Census 2022","2022","67 years","Female","Method - M2","Number","24674"
"Population Projections based on Census 2022","2022","68 years","Male","Method - M2","Number","22711"
"Population Projections based on Census 2022","2022","68 years","Female","Method - M2","Number","23179"
"Population Projections based on Census 2022","2022","69 years","Male","Method - M2","Number","22708"
"Population Projections based on Census 2022","2022","69 years","Female","Method - M2","Number","23521"
"Population Projections based on Census 2022","2022","70 years","Male","Method - M2","Number","21647"
"Population Projections based on Census 2022","2022","70 years","Female","Method - M2","Number","22366"
"Population Projections based on Census 2022","2022","71 years","Male","Method - M2","Number","20585"
"Population Projections based on Census 2022","2022","71 years","Female","Method - M2","Number","21348"
"Population Projections based on Census 2022","2022","72 years","Male","Method - M2","Number","20118"
"Population Projections based on Census 2022","2022","72 years","Female","Method - M2","Number","21294"
"Population Projections based on Census 2022","2022","73 years","Male","Method - M2","Number","19247"
"Population Projections based on Census 2022","2022","73 years","Female","Method - M2","Number","20250"
"Population Projections based on Census 2022","2022","74 years","Male","Method - M2","Number","18570"
"Population Projections based on Census 2022","2022","74 years","Female","Method - M2","Number","19259"
"Population Projections based on Census 2022","2022","75 years","Male","Method - M2","Number","17638"
"Population Projections based on Census 2022","2022","75 years","Female","Method - M2","Number","18449"
"Population Projections based on Census 2022","2022","76 years","Male","Method - M2","Number","16193"
"Population Projections based on Census 2022","2022","76 years","Female","Method - M2","Number","17744"
"Population Projections based on Census 2022","2022","77 years","Male","Method - M2","Number","14671"
"Population Projections based on Census 2022","2022","77 years","Female","Method - M2","Number","16015"
"Population Projections based on Census 2022","2022","78 years","Male","Method - M2","Number","13423"
"Population Projections based on Census 2022","2022","78 years","Female","Method - M2","Number","14696"
"Population Projections based on Census 2022","2022","79 years","Male","Method - M2","Number","12212"
"Population Projections based on Census 2022","2022","79 years","Female","Method - M2","Number","13976"
"Population Projections based on Census 2022","2022","80 years","Male","Method - M2","Number","10769"
"Population Projections based on Census 2022","2022","80 years","Female","Method - M2","Number","12231"
"Population Projections based on Census 2022","2022","81 years","Male","Method - M2","Number","9486"
"Population Projections based on Census 2022","2022","81 years","Female","Method - M2","Number","11186"
"Population Projections based on Census 2022","2022","82 years","Male","Method - M2","Number","8794"
"Population Projections based on Census 2022","2022","82 years","Female","Method - M2","Number","10761"
"Population Projections based on Census 2022","2022","83 years","Male","Method - M2","Number","7920"
"Population Projections based on Census 2022","2022","83 years","Female","Method - M2","Number","9970"
"Population Projections based on Census 2022","2022","84 years","Male","Method - M2","Number","6755"
"Population Projections based on Census 2022","2022","84 years","Female","Method - M2","Number","8886"
"Population Projections based on Census 2022","2022","85 years","Male","Method - M2","Number","6174"
"Population Projections based on Census 2022","2022","85 years","Female","Method - M2","Number","8312"
"Population Projections based on Census 2022","2022","86 years","Male","Method - M2","Number","5365"
"Population Projections based on Census 2022","2022","86 years","Female","Method - M2","Number","7491"
"Population Projections based on Census 2022","2022","87 years","Male","Method - M2","Number","4499"
"Population Projections based on Census 2022","2022","87 years","Female","Method - M2","Number","6756"
"Population Projections based on Census 2022","2022","88 years","Male","Method - M2","Number","3772"
"Population Projections based on Census 2022","2022","88 years","Female","Method - M2","Number","5924"
"Population Projections based on Census 2022","2022","89 years","Male","Method - M2","Number","3023"
"Population Projections based on Census 2022","2022","89 years","Female","Method - M2","Number","4942"
"Population Projections based on Census 2022","2022","90 years","Male","Method - M2","Number","2446"
"Population Projections based on Census 2022","2022","90 years","Female","Method - M2","Number","4278"
"Population Projections based on Census 2022","2022","91 years","Male","Method - M2","Number","1941"
"Population Projections based on Census 2022","2022","91 years","Female","Method - M2","Number","3779"
"Population Projections based on Census 2022","2022","92 years","Male","Method - M2","Number","1297"
"Population Projections based on Census 2022","2022","92 years","Female","Method - M2","Number","2797"
"Population Projections based on Census 2022","2022","93 years","Male","Method - M2","Number","937"
"Population Projections based on Census 2022","2022","93 years","Female","Method - M2","Number","2314"
"Population Projections based on Census 2022","2022","94 years","Male","Method - M2","Number","717"
"Population Projections based on Census 2022","2022","94 years","Female","Method - M2","Number","1736"
"Population Projections based on Census 2022","2022","95 years","Male","Method - M2","Number","481"
"Population Projections based on Census 2022","2022","95 years","Female","Method - M2","Number","1340"
"Population Projections based on Census 2022","2022","96 years","Male","Method - M2","Number","327"
"Population Projections based on Census 2022","2022","96 years","Female","Method - M2","Number","955"
"Population Projections based on Census 2022","2022","97 years","Male","Method - M2","Number","218"
"Population Projections based on Census 2022","2022","97 years","Female","Method - M2","Number","731"
"Population Projections based on Census 2022","2022","98 years","Male","Method - M2","Number","130"
"Population Projections based on Census 2022","2022","98 years","Female","Method - M2","Number","491"
"Population Projections based on Census 2022","2022","99 years and over","Male","Method - M2","Number","259"
"Population Projections based on Census 2022","2022","99 years and over","Female","Method - M2","Number","926"
"Population Projections based on Census 2022","2023","Under 1 year","Male","Method - M2","Number","29793"
"Population Projections based on Census 2022","2023","Under 1 year","Female","Method - M2","Number","28271"
"Population Projections based on Census 2022","2023","1 year","Male","Method - M2","Number","29912"
"Population Projections based on Census 2022","2023","1 year","Female","Method - M2","Number","28496"
"Population Projections based on Census 2022","2023","2 years","Male","Method - M2","Number","29367"
"Population Projections based on Census 2022","2023","2 years","Female","Method - M2","Number","28001"
"Population Projections based on Census 2022","2023","3 years","Male","Method - M2","Number","30613"
"Population Projections based on Census 2022","2023","3 years","Female","Method - M2","Number","29303"
"Population Projections based on Census 2022","2023","4 years","Male","Method - M2","Number","31395"
"Population Projections based on Census 2022","2023","4 years","Female","Method - M2","Number","29887"
"Population Projections based on Census 2022","2023","5 years","Male","Method - M2","Number","32125"
"Population Projections based on Census 2022","2023","5 years","Female","Method - M2","Number","30242"
"Population Projections based on Census 2022","2023","6 years","Male","Method - M2","Number","33145"
"Population Projections based on Census 2022","2023","6 years","Female","Method - M2","Number","31781"
"Population Projections based on Census 2022","2023","7 years","Male","Method - M2","Number","34520"
"Population Projections based on Census 2022","2023","7 years","Female","Method - M2","Number","33060"
"Population Projections based on Census 2022","2023","8 years","Male","Method - M2","Number","35861"
"Population Projections based on Census 2022","2023","8 years","Female","Method - M2","Number","33980"
"Population Projections based on Census 2022","2023","9 years","Male","Method - M2","Number","36710"
"Population Projections based on Census 2022","2023","9 years","Female","Method - M2","Number","34860"
"Population Projections based on Census 2022","2023","10 years","Male","Method - M2","Number","37396"
"Population Projections based on Census 2022","2023","10 years","Female","Method - M2","Number","35626"
"Population Projections based on Census 2022","2023","11 years","Male","Method - M2","Number","38540"
"Population Projections based on Census 2022","2023","11 years","Female","Method - M2","Number","36496"
"Population Projections based on Census 2022","2023","12 years","Male","Method - M2","Number","38741"
"Population Projections based on Census 2022","2023","12 years","Female","Method - M2","Number","37249"
"Population Projections based on Census 2022","2023","13 years","Male","Method - M2","Number","39382"
"Population Projections based on Census 2022","2023","13 years","Female","Method - M2","Number","37709"
"Population Projections based on Census 2022","2023","14 years","Male","Method - M2","Number","38743"
"Population Projections based on Census 2022","2023","14 years","Female","Method - M2","Number","37093"
"Population Projections based on Census 2022","2023","15 years","Male","Method - M2","Number","37921"
"Population Projections based on Census 2022","2023","15 years","Female","Method - M2","Number","36782"
"Population Projections based on Census 2022","2023","16 years","Male","Method - M2","Number","36463"
"Population Projections based on Census 2022","2023","16 years","Female","Method - M2","Number","35096"
"Population Projections based on Census 2022","2023","17 years","Male","Method - M2","Number","35296"
"Population Projections based on Census 2022","2023","17 years","Female","Method - M2","Number","33877"
"Population Projections based on Census 2022","2023","18 years","Male","Method - M2","Number","35459"
"Population Projections based on Census 2022","2023","18 years","Female","Method - M2","Number","33545"
"Population Projections based on Census 2022","2023","19 years","Male","Method - M2","Number","34354"
"Population Projections based on Census 2022","2023","19 years","Female","Method - M2","Number","33444"
"Population Projections based on Census 2022","2023","20 years","Male","Method - M2","Number","33489"
"Population Projections based on Census 2022","2023","20 years","Female","Method - M2","Number","32654"
"Population Projections based on Census 2022","2023","21 years","Male","Method - M2","Number","32886"
"Population Projections based on Census 2022","2023","21 years","Female","Method - M2","Number","32404"
"Population Projections based on Census 2022","2023","22 years","Male","Method - M2","Number","31852"
"Population Projections based on Census 2022","2023","22 years","Female","Method - M2","Number","31139"
"Population Projections based on Census 2022","2023","23 years","Male","Method - M2","Number","32289"
"Population Projections based on Census 2022","2023","23 years","Female","Method - M2","Number","31834"
"Population Projections based on Census 2022","2023","24 years","Male","Method - M2","Number","31837"
"Population Projections based on Census 2022","2023","24 years","Female","Method - M2","Number","31050"
"Population Projections based on Census 2022","2023","25 years","Male","Method - M2","Number","31831"
"Population Projections based on Census 2022","2023","25 years","Female","Method - M2","Number","31031"
"Population Projections based on Census 2022","2023","26 years","Male","Method - M2","Number","31528"
"Population Projections based on Census 2022","2023","26 years","Female","Method - M2","Number","30962"
"Population Projections based on Census 2022","2023","27 years","Male","Method - M2","Number","30717"
"Population Projections based on Census 2022","2023","27 years","Female","Method - M2","Number","30364"
"Population Projections based on Census 2022","2023","28 years","Male","Method - M2","Number","30499"
"Population Projections based on Census 2022","2023","28 years","Female","Method - M2","Number","30981"
"Population Projections based on Census 2022","2023","29 years","Male","Method - M2","Number","30187"
"Population Projections based on Census 2022","2023","29 years","Female","Method - M2","Number","31065"
"Population Projections based on Census 2022","2023","30 years","Male","Method - M2","Number","31184"
"Population Projections based on Census 2022","2023","30 years","Female","Method - M2","Number","32155"
"Population Projections based on Census 2022","2023","31 years","Male","Method - M2","Number","32225"
"Population Projections based on Census 2022","2023","31 years","Female","Method - M2","Number","34309"
"Population Projections based on Census 2022","2023","32 years","Male","Method - M2","Number","33298"
"Population Projections based on Census 2022","2023","32 years","Female","Method - M2","Number","34926"
"Population Projections based on Census 2022","2023","33 years","Male","Method - M2","Number","33398"
"Population Projections based on Census 2022","2023","33 years","Female","Method - M2","Number","35663"
"Population Projections based on Census 2022","2023","34 years","Male","Method - M2","Number","32922"
"Population Projections based on Census 2022","2023","34 years","Female","Method - M2","Number","35761"
"Population Projections based on Census 2022","2023","35 years","Male","Method - M2","Number","34077"
"Population Projections based on Census 2022","2023","35 years","Female","Method - M2","Number","37558"
"Population Projections based on Census 2022","2023","36 years","Male","Method - M2","Number","35971"
"Population Projections based on Census 2022","2023","36 years","Female","Method - M2","Number","39458"
"Population Projections based on Census 2022","2023","37 years","Male","Method - M2","Number","36765"
"Population Projections based on Census 2022","2023","37 years","Female","Method - M2","Number","40254"
"Population Projections based on Census 2022","2023","38 years","Male","Method - M2","Number","37397"
"Population Projections based on Census 2022","2023","38 years","Female","Method - M2","Number","40553"
"Population Projections based on Census 2022","2023","39 years","Male","Method - M2","Number","38598"
"Population Projections based on Census 2022","2023","39 years","Female","Method - M2","Number","42256"
"Population Projections based on Census 2022","2023","40 years","Male","Method - M2","Number","39774"
"Population Projections based on Census 2022","2023","40 years","Female","Method - M2","Number","43925"
"Population Projections based on Census 2022","2023","41 years","Male","Method - M2","Number","41804"
"Population Projections based on Census 2022","2023","41 years","Female","Method - M2","Number","44874"
"Population Projections based on Census 2022","2023","42 years","Male","Method - M2","Number","42474"
"Population Projections based on Census 2022","2023","42 years","Female","Method - M2","Number","44969"
"Population Projections based on Census 2022","2023","43 years","Male","Method - M2","Number","42767"
"Population Projections based on Census 2022","2023","43 years","Female","Method - M2","Number","44702"
"Population Projections based on Census 2022","2023","44 years","Male","Method - M2","Number","40372"
"Population Projections based on Census 2022","2023","44 years","Female","Method - M2","Number","42647"
"Population Projections based on Census 2022","2023","45 years","Male","Method - M2","Number","38276"
"Population Projections based on Census 2022","2023","45 years","Female","Method - M2","Number","39769"
"Population Projections based on Census 2022","2023","46 years","Male","Method - M2","Number","38292"
"Population Projections based on Census 2022","2023","46 years","Female","Method - M2","Number","39068"
"Population Projections based on Census 2022","2023","47 years","Male","Method - M2","Number","37624"
"Population Projections based on Census 2022","2023","47 years","Female","Method - M2","Number","38467"
"Population Projections based on Census 2022","2023","48 years","Male","Method - M2","Number","37327"
"Population Projections based on Census 2022","2023","48 years","Female","Method - M2","Number","37827"
"Population Projections based on Census 2022","2023","49 years","Male","Method - M2","Number","36884"
"Population Projections based on Census 2022","2023","49 years","Female","Method - M2","Number","37511"
"Population Projections based on Census 2022","2023","50 years","Male","Method - M2","Number","37061"
"Population Projections based on Census 2022","2023","50 years","Female","Method - M2","Number","37429"
"Population Projections based on Census 2022","2023","51 years","Male","Method - M2","Number","36854"
"Population Projections based on Census 2022","2023","51 years","Female","Method - M2","Number","36989"
"Population Projections based on Census 2022","2023","52 years","Male","Method - M2","Number","35262"
"Population Projections based on Census 2022","2023","52 years","Female","Method - M2","Number","35395"
"Population Projections based on Census 2022","2023","53 years","Male","Method - M2","Number","34688"
"Population Projections based on Census 2022","2023","53 years","Female","Method - M2","Number","34766"
"Population Projections based on Census 2022","2023","54 years","Male","Method - M2","Number","33000"
"Population Projections based on Census 2022","2023","54 years","Female","Method - M2","Number","32545"
"Population Projections based on Census 2022","2023","55 years","Male","Method - M2","Number","32413"
"Population Projections based on Census 2022","2023","55 years","Female","Method - M2","Number","32514"
"Population Projections based on Census 2022","2023","56 years","Male","Method - M2","Number","31944"
"Population Projections based on Census 2022","2023","56 years","Female","Method - M2","Number","32112"
"Population Projections based on Census 2022","2023","57 years","Male","Method - M2","Number","31057"
"Population Projections based on Census 2022","2023","57 years","Female","Method - M2","Number","31570"
"Population Projections based on Census 2022","2023","58 years","Male","Method - M2","Number","31203"
"Population Projections based on Census 2022","2023","58 years","Female","Method - M2","Number","32161"
"Population Projections based on Census 2022","2023","59 years","Male","Method - M2","Number","30143"
"Population Projections based on Census 2022","2023","59 years","Female","Method - M2","Number","31037"
"Population Projections based on Census 2022","2023","60 years","Male","Method - M2","Number","29516"
"Population Projections based on Census 2022","2023","60 years","Female","Method - M2","Number","30352"
"Population Projections based on Census 2022","2023","61 years","Male","Method - M2","Number","29270"
"Population Projections based on Census 2022","2023","61 years","Female","Method - M2","Number","29881"
"Population Projections based on Census 2022","2023","62 years","Male","Method - M2","Number","28093"
"Population Projections based on Census 2022","2023","62 years","Female","Method - M2","Number","29211"
"Population Projections based on Census 2022","2023","63 years","Male","Method - M2","Number","27493"
"Population Projections based on Census 2022","2023","63 years","Female","Method - M2","Number","28254"
"Population Projections based on Census 2022","2023","64 years","Male","Method - M2","Number","26223"
"Population Projections based on Census 2022","2023","64 years","Female","Method - M2","Number","26625"
"Population Projections based on Census 2022","2023","65 years","Male","Method - M2","Number","25120"
"Population Projections based on Census 2022","2023","65 years","Female","Method - M2","Number","26223"
"Population Projections based on Census 2022","2023","66 years","Male","Method - M2","Number","25136"
"Population Projections based on Census 2022","2023","66 years","Female","Method - M2","Number","25528"
"Population Projections based on Census 2022","2023","67 years","Male","Method - M2","Number","23798"
"Population Projections based on Census 2022","2023","67 years","Female","Method - M2","Number","24761"
"Population Projections based on Census 2022","2023","68 years","Male","Method - M2","Number","23596"
"Population Projections based on Census 2022","2023","68 years","Female","Method - M2","Number","24557"
"Population Projections based on Census 2022","2023","69 years","Male","Method - M2","Number","22458"
"Population Projections based on Census 2022","2023","69 years","Female","Method - M2","Number","23042"
"Population Projections based on Census 2022","2023","70 years","Male","Method - M2","Number","22425"
"Population Projections based on Census 2022","2023","70 years","Female","Method - M2","Number","23376"
"Population Projections based on Census 2022","2023","71 years","Male","Method - M2","Number","21349"
"Population Projections based on Census 2022","2023","71 years","Female","Method - M2","Number","22193"
"Population Projections based on Census 2022","2023","72 years","Male","Method - M2","Number","20270"
"Population Projections based on Census 2022","2023","72 years","Female","Method - M2","Number","21167"
"Population Projections based on Census 2022","2023","73 years","Male","Method - M2","Number","19755"
"Population Projections based on Census 2022","2023","73 years","Female","Method - M2","Number","21069"
"Population Projections based on Census 2022","2023","74 years","Male","Method - M2","Number","18851"
"Population Projections based on Census 2022","2023","74 years","Female","Method - M2","Number","20010"
"Population Projections based on Census 2022","2023","75 years","Male","Method - M2","Number","18126"
"Population Projections based on Census 2022","2023","75 years","Female","Method - M2","Number","18985"
"Population Projections based on Census 2022","2023","76 years","Male","Method - M2","Number","17110"
"Population Projections based on Census 2022","2023","76 years","Female","Method - M2","Number","18104"
"Population Projections based on Census 2022","2023","77 years","Male","Method - M2","Number","15645"
"Population Projections based on Census 2022","2023","77 years","Female","Method - M2","Number","17363"
"Population Projections based on Census 2022","2023","78 years","Male","Method - M2","Number","14123"
"Population Projections based on Census 2022","2023","78 years","Female","Method - M2","Number","15629"
"Population Projections based on Census 2022","2023","79 years","Male","Method - M2","Number","12865"
"Population Projections based on Census 2022","2023","79 years","Female","Method - M2","Number","14300"
"Population Projections based on Census 2022","2023","80 years","Male","Method - M2","Number","11650"
"Population Projections based on Census 2022","2023","80 years","Female","Method - M2","Number","13546"
"Population Projections based on Census 2022","2023","81 years","Male","Method - M2","Number","10221"
"Population Projections based on Census 2022","2023","81 years","Female","Method - M2","Number","11805"
"Population Projections based on Census 2022","2023","82 years","Male","Method - M2","Number","8947"
"Population Projections based on Census 2022","2023","82 years","Female","Method - M2","Number","10738"
"Population Projections based on Census 2022","2023","83 years","Male","Method - M2","Number","8213"
"Population Projections based on Census 2022","2023","83 years","Female","Method - M2","Number","10251"
"Population Projections based on Census 2022","2023","84 years","Male","Method - M2","Number","7331"
"Population Projections based on Census 2022","2023","84 years","Female","Method - M2","Number","9437"
"Population Projections based on Census 2022","2023","85 years","Male","Method - M2","Number","6192"
"Population Projections based on Census 2022","2023","85 years","Female","Method - M2","Number","8338"
"Population Projections based on Census 2022","2023","86 years","Male","Method - M2","Number","5574"
"Population Projections based on Census 2022","2023","86 years","Female","Method - M2","Number","7702"
"Population Projections based on Census 2022","2023","87 years","Male","Method - M2","Number","4783"
"Population Projections based on Census 2022","2023","87 years","Female","Method - M2","Number","6873"
"Population Projections based on Census 2022","2023","88 years","Male","Method - M2","Number","3957"
