Statistic Label,Census Year,Sex,Smoking Tobacco Products,Age Group,County,UNIT,VALUE
Population,2022,Both Sexes,Never smoked,45-49 years,Monaghan,Number,2390.0
Population,2022,Both Sexes,Never smoked,50-54 years,Monaghan,Number,2140.0
Population,2022,Both Sexes,Never smoked,55-59 years,Monaghan,Number,2037.0
Population,2022,Both Sexes,Never smoked,60-64 years,Monaghan,Number,1806.0
Population,2022,Both Sexes,Never smoked,65-69 years,Monaghan,Number,1523.0
Population,2022,Both Sexes,Never smoked,70-74 years,Monaghan,Number,1396.0
Population,2022,Both Sexes,Never smoked,75-79 years,Monaghan,Number,1039.0
Population,2022,Both Sexes,Never smoked,80-84 years,Monaghan,Number,697.0
Population,2022,Both Sexes,Never smoked,85-89 years,Monaghan,Number,657.0
Population,2022,Both Sexes,Never smoked,95 years and over,Monaghan,Number,49.0
Population,2022,Both Sexes,Not stated,All Ages,State,Number,385095.0
Population,2022,Both Sexes,Not stated,0 - 14 years,State,Number,99359.0
Population,2022,Both Sexes,Not stated,15-19 years,State,Number,22965.0
Population,2022,Both Sexes,Not stated,20-24 years,State,Number,24054.0
Population,2022,Both Sexes,Not stated,25-29 years,State,Number,22671.0
Population,2022,Both Sexes,Not stated,30-34 years,State,Number,28007.0
Population,2022,Both Sexes,Not stated,35-39 years,State,Number,30903.0
Population,2022,Both Sexes,Not stated,40-44 years,State,Number,31363.0
Population,2022,Both Sexes,Not stated,45-49 years,State,Number,24889.0
Population,2022,Both Sexes,Not stated,50-54 years,State,Number,20898.0
Population,2022,Both Sexes,Not stated,55-59 years,State,Number,17004.0
Population,2022,Both Sexes,Not stated,60-64 years,State,Number,15145.0
Population,2022,Both Sexes,Not stated,65-69 years,State,Number,12962.0
Population,2022,Both Sexes,Not stated,70-74 years,State,Number,11717.0
Population,2022,Both Sexes,Not stated,75-79 years,State,Number,9078.0
Population,2022,Both Sexes,Not stated,80-84 years,State,Number,6288.0
Population,2022,Both Sexes,Not stated,85-89 years,State,Number,6868.0
Population,2022,Both Sexes,Not stated,95 years and over,State,Number,924.0
Population,2022,Both Sexes,Not stated,All Ages,Carlow,Number,4499.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Carlow,Number,1121.0
Population,2022,Both Sexes,Not stated,15-19 years,Carlow,Number,298.0
Population,2022,Both Sexes,Not stated,20-24 years,Carlow,Number,342.0
Population,2022,Both Sexes,Not stated,25-29 years,Carlow,Number,270.0
Population,2022,Both Sexes,Not stated,30-34 years,Carlow,Number,312.0
Population,2022,Both Sexes,Not stated,35-39 years,Carlow,Number,366.0
Population,2022,Both Sexes,Not stated,40-44 years,Carlow,Number,336.0
Population,2022,Both Sexes,Not stated,45-49 years,Carlow,Number,288.0
Population,2022,Both Sexes,Not stated,50-54 years,Carlow,Number,228.0
Population,2022,Both Sexes,Not stated,55-59 years,Carlow,Number,200.0
Population,2022,Both Sexes,Not stated,60-64 years,Carlow,Number,184.0
Population,2022,Both Sexes,Not stated,65-69 years,Carlow,Number,133.0
Population,2022,Both Sexes,Not stated,70-74 years,Carlow,Number,157.0
Population,2022,Both Sexes,Not stated,75-79 years,Carlow,Number,113.0
Population,2022,Both Sexes,Not stated,80-84 years,Carlow,Number,71.0
Population,2022,Both Sexes,Not stated,85-89 years,Carlow,Number,72.0
Population,2022,Both Sexes,Not stated,95 years and over,Carlow,Number,8.0
Population,2022,Both Sexes,Not stated,All Ages,Dublin City,Number,84267.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Dublin City,Number,17678.0
Population,2022,Both Sexes,Not stated,15-19 years,Dublin City,Number,5261.0
Population,2022,Both Sexes,Not stated,20-24 years,Dublin City,Number,5996.0
Population,2022,Both Sexes,Not stated,25-29 years,Dublin City,Number,6158.0
Population,2022,Both Sexes,Not stated,30-34 years,Dublin City,Number,7750.0
Population,2022,Both Sexes,Not stated,35-39 years,Dublin City,Number,8064.0
Population,2022,Both Sexes,Not stated,40-44 years,Dublin City,Number,7632.0
Population,2022,Both Sexes,Not stated,45-49 years,Dublin City,Number,5883.0
Population,2022,Both Sexes,Not stated,50-54 years,Dublin City,Number,4699.0
Population,2022,Both Sexes,Not stated,55-59 years,Dublin City,Number,3636.0
Population,2022,Both Sexes,Not stated,60-64 years,Dublin City,Number,3057.0
Population,2022,Both Sexes,Not stated,65-69 years,Dublin City,Number,2452.0
Population,2022,Both Sexes,Not stated,70-74 years,Dublin City,Number,2044.0
Population,2022,Both Sexes,Not stated,75-79 years,Dublin City,Number,1550.0
Population,2022,Both Sexes,Not stated,80-84 years,Dublin City,Number,1022.0
Population,2022,Both Sexes,Not stated,85-89 years,Dublin City,Number,1193.0
Population,2022,Both Sexes,Not stated,95 years and over,Dublin City,Number,192.0
Population,2022,Both Sexes,Not stated,All Ages,Dun Laoghaire-Rathdown,Number,8749.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Dun Laoghaire-Rathdown,Number,2143.0
Population,2022,Both Sexes,Not stated,15-19 years,Dun Laoghaire-Rathdown,Number,501.0
Population,2022,Both Sexes,Not stated,20-24 years,Dun Laoghaire-Rathdown,Number,559.0
Population,2022,Both Sexes,Not stated,25-29 years,Dun Laoghaire-Rathdown,Number,485.0
Population,2022,Both Sexes,Not stated,30-34 years,Dun Laoghaire-Rathdown,Number,536.0
Population,2022,Both Sexes,Not stated,35-39 years,Dun Laoghaire-Rathdown,Number,638.0
Population,2022,Both Sexes,Not stated,40-44 years,Dun Laoghaire-Rathdown,Number,642.0
Population,2022,Both Sexes,Not stated,45-49 years,Dun Laoghaire-Rathdown,Number,552.0
Population,2022,Both Sexes,Not stated,50-54 years,Dun Laoghaire-Rathdown,Number,488.0
Population,2022,Both Sexes,Not stated,55-59 years,Dun Laoghaire-Rathdown,Number,384.0
Population,2022,Both Sexes,Not stated,60-64 years,Dun Laoghaire-Rathdown,Number,341.0
Population,2022,Both Sexes,Not stated,65-69 years,Dun Laoghaire-Rathdown,Number,300.0
Population,2022,Both Sexes,Not stated,70-74 years,Dun Laoghaire-Rathdown,Number,309.0
Population,2022,Both Sexes,Not stated,75-79 years,Dun Laoghaire-Rathdown,Number,252.0
Population,2022,Both Sexes,Not stated,80-84 years,Dun Laoghaire-Rathdown,Number,252.0
Population,2022,Both Sexes,Not stated,85-89 years,Dun Laoghaire-Rathdown,Number,325.0
Population,2022,Both Sexes,Not stated,95 years and over,Dun Laoghaire-Rathdown,Number,42.0
Population,2022,Both Sexes,Not stated,All Ages,Fingal,Number,26503.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Fingal,Number,7929.0
Population,2022,Both Sexes,Not stated,15-19 years,Fingal,Number,1614.0
Population,2022,Both Sexes,Not stated,20-24 years,Fingal,Number,1553.0
Population,2022,Both Sexes,Not stated,25-29 years,Fingal,Number,1430.0
Population,2022,Both Sexes,Not stated,30-34 years,Fingal,Number,1939.0
Population,2022,Both Sexes,Not stated,35-39 years,Fingal,Number,2182.0
Population,2022,Both Sexes,Not stated,40-44 years,Fingal,Number,2334.0
Population,2022,Both Sexes,Not stated,45-49 years,Fingal,Number,1737.0
Population,2022,Both Sexes,Not stated,50-54 years,Fingal,Number,1335.0
Population,2022,Both Sexes,Not stated,55-59 years,Fingal,Number,990.0
Population,2022,Both Sexes,Not stated,60-64 years,Fingal,Number,811.0
Population,2022,Both Sexes,Not stated,65-69 years,Fingal,Number,648.0
Population,2022,Both Sexes,Not stated,70-74 years,Fingal,Number,636.0
Population,2022,Both Sexes,Not stated,75-79 years,Fingal,Number,486.0
Population,2022,Both Sexes,Not stated,80-84 years,Fingal,Number,388.0
Population,2022,Both Sexes,Not stated,85-89 years,Fingal,Number,439.0
Population,2022,Both Sexes,Not stated,95 years and over,Fingal,Number,52.0
Population,2022,Both Sexes,Not stated,All Ages,South Dublin,Number,23240.0
Population,2022,Both Sexes,Not stated,0 - 14 years,South Dublin,Number,7144.0
Population,2022,Both Sexes,Not stated,15-19 years,South Dublin,Number,1466.0
Population,2022,Both Sexes,Not stated,20-24 years,South Dublin,Number,1542.0
Population,2022,Both Sexes,Not stated,25-29 years,South Dublin,Number,1330.0
Population,2022,Both Sexes,Not stated,30-34 years,South Dublin,Number,1541.0
Population,2022,Both Sexes,Not stated,35-39 years,South Dublin,Number,1733.0
Population,2022,Both Sexes,Not stated,40-44 years,South Dublin,Number,1907.0
Population,2022,Both Sexes,Not stated,45-49 years,South Dublin,Number,1464.0
Population,2022,Both Sexes,Not stated,50-54 years,South Dublin,Number,1102.0
Population,2022,Both Sexes,Not stated,55-59 years,South Dublin,Number,836.0
Population,2022,Both Sexes,Not stated,60-64 years,South Dublin,Number,764.0
Population,2022,Both Sexes,Not stated,65-69 years,South Dublin,Number,710.0
Population,2022,Both Sexes,Not stated,70-74 years,South Dublin,Number,609.0
Population,2022,Both Sexes,Not stated,75-79 years,South Dublin,Number,467.0
Population,2022,Both Sexes,Not stated,80-84 years,South Dublin,Number,
Population,2022,Both Sexes,Not stated,85-89 years,South Dublin,Number,300.0
Population,2022,Both Sexes,Not stated,95 years and over,South Dublin,Number,
Population,2022,Both Sexes,Not stated,All Ages,Kildare,Number,13574.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Kildare,Number,3808.0
Population,2022,Both Sexes,Not stated,15-19 years,Kildare,Number,853.0
Population,2022,Both Sexes,Not stated,20-24 years,Kildare,Number,823.0
Population,2022,Both Sexes,Not stated,25-29 years,Kildare,Number,697.0
Population,2022,Both Sexes,Not stated,30-34 years,Kildare,Number,836.0
Population,2022,Both Sexes,Not stated,35-39 years,Kildare,Number,979.0
Population,2022,Both Sexes,Not stated,40-44 years,Kildare,Number,1032.0
Population,2022,Both Sexes,Not stated,45-49 years,Kildare,Number,922.0
Population,2022,Both Sexes,Not stated,50-54 years,Kildare,Number,770.0
Population,2022,Both Sexes,Not stated,55-59 years,Kildare,Number,637.0
Population,2022,Both Sexes,Not stated,60-64 years,Kildare,Number,541.0
Population,2022,Both Sexes,Not stated,65-69 years,Kildare,Number,522.0
Population,2022,Both Sexes,Not stated,70-74 years,Kildare,Number,404.0
Population,2022,Both Sexes,Not stated,75-79 years,Kildare,Number,312.0
Population,2022,Both Sexes,Not stated,80-84 years,Kildare,Number,228.0
Population,2022,Both Sexes,Not stated,85-89 years,Kildare,Number,
Population,2022,Both Sexes,Not stated,95 years and over,Kildare,Number,
Population,2022,Both Sexes,Not stated,All Ages,Kilkenny,Number,5544.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Kilkenny,Number,1558.0
Population,2022,Both Sexes,Not stated,15-19 years,Kilkenny,Number,320.0
Population,2022,Both Sexes,Not stated,20-24 years,Kilkenny,Number,274.0
Population,2022,Both Sexes,Not stated,25-29 years,Kilkenny,Number,252.0
Population,2022,Both Sexes,Not stated,30-34 years,Kilkenny,Number,322.0
Population,2022,Both Sexes,Not stated,35-39 years,Kilkenny,Number,336.0
Population,2022,Both Sexes,Not stated,40-44 years,Kilkenny,Number,377.0
Population,2022,Both Sexes,Not stated,45-49 years,Kilkenny,Number,314.0
Population,2022,Both Sexes,Not stated,50-54 years,Kilkenny,Number,280.0
Population,2022,Both Sexes,Not stated,55-59 years,Kilkenny,Number,239.0
Population,2022,Both Sexes,Not stated,60-64 years,Kilkenny,Number,237.0
Population,2022,Both Sexes,Not stated,65-69 years,Kilkenny,Number,217.0
Population,2022,Both Sexes,Not stated,70-74 years,Kilkenny,Number,201.0
Population,2022,Both Sexes,Not stated,75-79 years,Kilkenny,Number,186.0
Population,2022,Both Sexes,Not stated,80-84 years,Kilkenny,Number,164.0
Population,2022,Both Sexes,Not stated,85-89 years,Kilkenny,Number,238.0
Population,2022,Both Sexes,Not stated,95 years and over,Kilkenny,Number,29.0
Population,2022,Both Sexes,Not stated,All Ages,Laois,Number,5843.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Laois,Number,1798.0
Population,2022,Both Sexes,Not stated,15-19 years,Laois,Number,359.0
Population,2022,Both Sexes,Not stated,20-24 years,Laois,Number,365.0
Population,2022,Both Sexes,Not stated,25-29 years,Laois,Number,319.0
Population,2022,Both Sexes,Not stated,30-34 years,Laois,Number,444.0
Population,2022,Both Sexes,Not stated,35-39 years,Laois,Number,474.0
Population,2022,Both Sexes,Not stated,40-44 years,Laois,Number,465.0
Population,2022,Both Sexes,Not stated,45-49 years,Laois,Number,345.0
Population,2022,Both Sexes,Not stated,50-54 years,Laois,Number,288.0
Population,2022,Both Sexes,Not stated,55-59 years,Laois,Number,239.0
Population,2022,Both Sexes,Not stated,60-64 years,Laois,Number,197.0
Population,2022,Both Sexes,Not stated,65-69 years,Laois,Number,189.0
Population,2022,Both Sexes,Not stated,70-74 years,Laois,Number,150.0
Population,2022,Both Sexes,Not stated,75-79 years,Laois,Number,103.0
Population,2022,Both Sexes,Not stated,80-84 years,Laois,Number,59.0
Population,2022,Both Sexes,Not stated,85-89 years,Laois,Number,
Population,2022,Both Sexes,Not stated,95 years and over,Laois,Number,
Population,2022,Both Sexes,Not stated,All Ages,Longford,Number,6142.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Longford,Number,1307.0
Population,2022,Both Sexes,Not stated,15-19 years,Longford,Number,378.0
Population,2022,Both Sexes,Not stated,20-24 years,Longford,Number,524.0
Population,2022,Both Sexes,Not stated,25-29 years,Longford,Number,484.0
Population,2022,Both Sexes,Not stated,30-34 years,Longford,Number,511.0
Population,2022,Both Sexes,Not stated,35-39 years,Longford,Number,515.0
Population,2022,Both Sexes,Not stated,40-44 years,Longford,Number,520.0
Population,2022,Both Sexes,Not stated,45-49 years,Longford,Number,406.0
Population,2022,Both Sexes,Not stated,50-54 years,Longford,Number,380.0
Population,2022,Both Sexes,Not stated,55-59 years,Longford,Number,286.0
Population,2022,Both Sexes,Not stated,60-64 years,Longford,Number,238.0
Population,2022,Both Sexes,Not stated,65-69 years,Longford,Number,182.0
Population,2022,Both Sexes,Not stated,70-74 years,Longford,Number,164.0
Population,2022,Both Sexes,Not stated,75-79 years,Longford,Number,123.0
Population,2022,Both Sexes,Not stated,80-84 years,Longford,Number,61.0
Population,2022,Both Sexes,Not stated,85-89 years,Longford,Number,
Population,2022,Both Sexes,Not stated,95 years and over,Longford,Number,
Population,2022,Both Sexes,Not stated,All Ages,Louth,Number,10827.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Louth,Number,3102.0
Population,2022,Both Sexes,Not stated,15-19 years,Louth,Number,692.0
Population,2022,Both Sexes,Not stated,20-24 years,Louth,Number,656.0
Population,2022,Both Sexes,Not stated,25-29 years,Louth,Number,551.0
Population,2022,Both Sexes,Not stated,30-34 years,Louth,Number,695.0
Population,2022,Both Sexes,Not stated,35-39 years,Louth,Number,782.0
Population,2022,Both Sexes,Not stated,40-44 years,Louth,Number,870.0
Population,2022,Both Sexes,Not stated,45-49 years,Louth,Number,696.0
Population,2022,Both Sexes,Not stated,50-54 years,Louth,Number,579.0
Population,2022,Both Sexes,Not stated,55-59 years,Louth,Number,513.0
Population,2022,Both Sexes,Not stated,60-64 years,Louth,Number,411.0
Population,2022,Both Sexes,Not stated,65-69 years,Louth,Number,312.0
Population,2022,Both Sexes,Not stated,70-74 years,Louth,Number,305.0
Population,2022,Both Sexes,Not stated,75-79 years,Louth,Number,240.0
Population,2022,Both Sexes,Not stated,80-84 years,Louth,Number,176.0
Population,2022,Both Sexes,Not stated,85-89 years,Louth,Number,206.0
Population,2022,Both Sexes,Not stated,95 years and over,Louth,Number,41.0
Population,2022,Both Sexes,Not stated,All Ages,Meath,Number,11289.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Meath,Number,3655.0
Population,2022,Both Sexes,Not stated,15-19 years,Meath,Number,627.0
Population,2022,Both Sexes,Not stated,20-24 years,Meath,Number,651.0
Population,2022,Both Sexes,Not stated,25-29 years,Meath,Number,555.0
Population,2022,Both Sexes,Not stated,30-34 years,Meath,Number,685.0
Population,2022,Both Sexes,Not stated,35-39 years,Meath,Number,770.0
Population,2022,Both Sexes,Not stated,40-44 years,Meath,Number,769.0
Population,2022,Both Sexes,Not stated,45-49 years,Meath,Number,687.0
Population,2022,Both Sexes,Not stated,50-54 years,Meath,Number,594.0
Population,2022,Both Sexes,Not stated,55-59 years,Meath,Number,463.0
Population,2022,Both Sexes,Not stated,60-64 years,Meath,Number,412.0
Population,2022,Both Sexes,Not stated,65-69 years,Meath,Number,333.0
Population,2022,Both Sexes,Not stated,70-74 years,Meath,Number,334.0
Population,2022,Both Sexes,Not stated,75-79 years,Meath,Number,289.0
Population,2022,Both Sexes,Not stated,80-84 years,Meath,Number,194.0
Population,2022,Both Sexes,Not stated,85-89 years,Meath,Number,235.0
Population,2022,Both Sexes,Not stated,95 years and over,Meath,Number,36.0
Population,2022,Both Sexes,Not stated,All Ages,Offaly,Number,5396.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Offaly,Number,1627.0
Population,2022,Both Sexes,Not stated,15-19 years,Offaly,Number,322.0
Population,2022,Both Sexes,Not stated,20-24 years,Offaly,Number,307.0
Population,2022,Both Sexes,Not stated,25-29 years,Offaly,Number,264.0
Population,2022,Both Sexes,Not stated,30-34 years,Offaly,Number,313.0
Population,2022,Both Sexes,Not stated,35-39 years,Offaly,Number,343.0
Population,2022,Both Sexes,Not stated,40-44 years,Offaly,Number,370.0
Population,2022,Both Sexes,Not stated,45-49 years,Offaly,Number,285.0
Population,2022,Both Sexes,Not stated,50-54 years,Offaly,Number,276.0
Population,2022,Both Sexes,Not stated,55-59 years,Offaly,Number,217.0
Population,2022,Both Sexes,Not stated,60-64 years,Offaly,Number,228.0
Population,2022,Both Sexes,Not stated,65-69 years,Offaly,Number,203.0
Population,2022,Both Sexes,Not stated,70-74 years,Offaly,Number,215.0
Population,2022,Both Sexes,Not stated,75-79 years,Offaly,Number,149.0
Population,2022,Both Sexes,Not stated,80-84 years,Offaly,Number,
Population,2022,Both Sexes,Not stated,85-89 years,Offaly,Number,137.0
Population,2022,Both Sexes,Not stated,95 years and over,Offaly,Number,
Population,2022,Both Sexes,Not stated,All Ages,Westmeath,Number,7796.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Westmeath,Number,1998.0
Population,2022,Both Sexes,Not stated,15-19 years,Westmeath,Number,445.0
Population,2022,Both Sexes,Not stated,20-24 years,Westmeath,Number,424.0
Population,2022,Both Sexes,Not stated,25-29 years,Westmeath,Number,435.0
Population,2022,Both Sexes,Not stated,30-34 years,Westmeath,Number,565.0
Population,2022,Both Sexes,Not stated,35-39 years,Westmeath,Number,651.0
Population,2022,Both Sexes,Not stated,40-44 years,Westmeath,Number,574.0
Population,2022,Both Sexes,Not stated,45-49 years,Westmeath,Number,491.0
Population,2022,Both Sexes,Not stated,50-54 years,Westmeath,Number,411.0
Population,2022,Both Sexes,Not stated,55-59 years,Westmeath,Number,354.0
Population,2022,Both Sexes,Not stated,60-64 years,Westmeath,Number,284.0
Population,2022,Both Sexes,Not stated,65-69 years,Westmeath,Number,301.0
Population,2022,Both Sexes,Not stated,70-74 years,Westmeath,Number,247.0
Population,2022,Both Sexes,Not stated,75-79 years,Westmeath,Number,203.0
Population,2022,Both Sexes,Not stated,80-84 years,Westmeath,Number,157.0
Population,2022,Both Sexes,Not stated,85-89 years,Westmeath,Number,224.0
Population,2022,Both Sexes,Not stated,95 years and over,Westmeath,Number,32.0
Population,2022,Both Sexes,Not stated,All Ages,Wexford,Number,9682.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Wexford,Number,2809.0
Population,2022,Both Sexes,Not stated,15-19 years,Wexford,Number,553.0
Population,2022,Both Sexes,Not stated,20-24 years,Wexford,Number,525.0
Population,2022,Both Sexes,Not stated,25-29 years,Wexford,Number,468.0
Population,2022,Both Sexes,Not stated,30-34 years,Wexford,Number,608.0
Population,2022,Both Sexes,Not stated,35-39 years,Wexford,Number,651.0
Population,2022,Both Sexes,Not stated,40-44 years,Wexford,Number,716.0
Population,2022,Both Sexes,Not stated,45-49 years,Wexford,Number,552.0
Population,2022,Both Sexes,Not stated,50-54 years,Wexford,Number,529.0
Population,2022,Both Sexes,Not stated,55-59 years,Wexford,Number,439.0
Population,2022,Both Sexes,Not stated,60-64 years,Wexford,Number,422.0
Population,2022,Both Sexes,Not stated,65-69 years,Wexford,Number,380.0
Population,2022,Both Sexes,Not stated,70-74 years,Wexford,Number,361.0
Population,2022,Both Sexes,Not stated,75-79 years,Wexford,Number,298.0
Population,2022,Both Sexes,Not stated,80-84 years,Wexford,Number,181.0
Population,2022,Both Sexes,Not stated,85-89 years,Wexford,Number,170.0
Population,2022,Both Sexes,Not stated,95 years and over,Wexford,Number,20.0
Population,2022,Both Sexes,Not stated,All Ages,Wicklow,Number,8437.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Wicklow,Number,2249.0
Population,2022,Both Sexes,Not stated,15-19 years,Wicklow,Number,494.0
Population,2022,Both Sexes,Not stated,20-24 years,Wicklow,Number,442.0
Population,2022,Both Sexes,Not stated,25-29 years,Wicklow,Number,463.0
Population,2022,Both Sexes,Not stated,30-34 years,Wicklow,Number,443.0
Population,2022,Both Sexes,Not stated,35-39 years,Wicklow,Number,579.0
Population,2022,Both Sexes,Not stated,40-44 years,Wicklow,Number,683.0
Population,2022,Both Sexes,Not stated,45-49 years,Wicklow,Number,572.0
Population,2022,Both Sexes,Not stated,50-54 years,Wicklow,Number,485.0
Population,2022,Both Sexes,Not stated,55-59 years,Wicklow,Number,408.0
Population,2022,Both Sexes,Not stated,60-64 years,Wicklow,Number,383.0
Population,2022,Both Sexes,Not stated,65-69 years,Wicklow,Number,323.0
Population,2022,Both Sexes,Not stated,70-74 years,Wicklow,Number,280.0
Population,2022,Both Sexes,Not stated,75-79 years,Wicklow,Number,268.0
Population,2022,Both Sexes,Not stated,80-84 years,Wicklow,Number,155.0
Population,2022,Both Sexes,Not stated,85-89 years,Wicklow,Number,180.0
Population,2022,Both Sexes,Not stated,95 years and over,Wicklow,Number,30.0
Population,2022,Both Sexes,Not stated,All Ages,Clare,Number,9381.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Clare,Number,2551.0
Population,2022,Both Sexes,Not stated,15-19 years,Clare,Number,558.0
Population,2022,Both Sexes,Not stated,20-24 years,Clare,Number,579.0
Population,2022,Both Sexes,Not stated,25-29 years,Clare,Number,480.0
Population,2022,Both Sexes,Not stated,30-34 years,Clare,Number,549.0
Population,2022,Both Sexes,Not stated,35-39 years,Clare,Number,717.0
Population,2022,Both Sexes,Not stated,40-44 years,Clare,Number,730.0
Population,2022,Both Sexes,Not stated,45-49 years,Clare,Number,591.0
Population,2022,Both Sexes,Not stated,50-54 years,Clare,Number,549.0
Population,2022,Both Sexes,Not stated,55-59 years,Clare,Number,438.0
Population,2022,Both Sexes,Not stated,60-64 years,Clare,Number,408.0
Population,2022,Both Sexes,Not stated,65-69 years,Clare,Number,343.0
Population,2022,Both Sexes,Not stated,70-74 years,Clare,Number,322.0
Population,2022,Both Sexes,Not stated,75-79 years,Clare,Number,236.0
Population,2022,Both Sexes,Not stated,80-84 years,Clare,Number,146.0
Population,2022,Both Sexes,Not stated,85-89 years,Clare,Number,
Population,2022,Both Sexes,Not stated,95 years and over,Clare,Number,
Population,2022,Both Sexes,Not stated,All Ages,Cork City,Number,19141.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Cork City,Number,3975.0
Population,2022,Both Sexes,Not stated,15-19 years,Cork City,Number,994.0
Population,2022,Both Sexes,Not stated,20-24 years,Cork City,Number,1218.0
Population,2022,Both Sexes,Not stated,25-29 years,Cork City,Number,1332.0
Population,2022,Both Sexes,Not stated,30-34 years,Cork City,Number,1635.0
Population,2022,Both Sexes,Not stated,35-39 years,Cork City,Number,1838.0
Population,2022,Both Sexes,Not stated,40-44 years,Cork City,Number,1749.0
Population,2022,Both Sexes,Not stated,45-49 years,Cork City,Number,1282.0
Population,2022,Both Sexes,Not stated,50-54 years,Cork City,Number,996.0
Population,2022,Both Sexes,Not stated,55-59 years,Cork City,Number,897.0
Population,2022,Both Sexes,Not stated,60-64 years,Cork City,Number,771.0
Population,2022,Both Sexes,Not stated,65-69 years,Cork City,Number,648.0
Population,2022,Both Sexes,Not stated,70-74 years,Cork City,Number,622.0
Population,2022,Both Sexes,Not stated,75-79 years,Cork City,Number,476.0
Population,2022,Both Sexes,Not stated,80-84 years,Cork City,Number,318.0
Population,2022,Both Sexes,Not stated,85-89 years,Cork City,Number,352.0
Population,2022,Both Sexes,Not stated,95 years and over,Cork City,Number,38.0
Population,2022,Both Sexes,Not stated,All Ages,Cork County,Number,17488.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Cork County,Number,4918.0
Population,2022,Both Sexes,Not stated,15-19 years,Cork County,Number,1048.0
Population,2022,Both Sexes,Not stated,20-24 years,Cork County,Number,929.0
Population,2022,Both Sexes,Not stated,25-29 years,Cork County,Number,810.0
Population,2022,Both Sexes,Not stated,30-34 years,Cork County,Number,989.0
Population,2022,Both Sexes,Not stated,35-39 years,Cork County,Number,1206.0
Population,2022,Both Sexes,Not stated,40-44 years,Cork County,Number,1317.0
Population,2022,Both Sexes,Not stated,45-49 years,Cork County,Number,1060.0
Population,2022,Both Sexes,Not stated,50-54 years,Cork County,Number,988.0
Population,2022,Both Sexes,Not stated,55-59 years,Cork County,Number,840.0
Population,2022,Both Sexes,Not stated,60-64 years,Cork County,Number,799.0
Population,2022,Both Sexes,Not stated,65-69 years,Cork County,Number,652.0
Population,2022,Both Sexes,Not stated,70-74 years,Cork County,Number,619.0
Population,2022,Both Sexes,Not stated,75-79 years,Cork County,Number,524.0
Population,2022,Both Sexes,Not stated,80-84 years,Cork County,Number,334.0
Population,2022,Both Sexes,Not stated,85-89 years,Cork County,Number,400.0
Population,2022,Both Sexes,Not stated,95 years and over,Cork County,Number,55.0
Population,2022,Both Sexes,Not stated,All Ages,Kerry,Number,9950.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Kerry,Number,2664.0
Population,2022,Both Sexes,Not stated,15-19 years,Kerry,Number,594.0
Population,2022,Both Sexes,Not stated,20-24 years,Kerry,Number,528.0
Population,2022,Both Sexes,Not stated,25-29 years,Kerry,Number,483.0
Population,2022,Both Sexes,Not stated,30-34 years,Kerry,Number,571.0
Population,2022,Both Sexes,Not stated,35-39 years,Kerry,Number,647.0
Population,2022,Both Sexes,Not stated,40-44 years,Kerry,Number,736.0
Population,2022,Both Sexes,Not stated,45-49 years,Kerry,Number,600.0
Population,2022,Both Sexes,Not stated,50-54 years,Kerry,Number,546.0
Population,2022,Both Sexes,Not stated,55-59 years,Kerry,Number,465.0
Population,2022,Both Sexes,Not stated,60-64 years,Kerry,Number,466.0
Population,2022,Both Sexes,Not stated,65-69 years,Kerry,Number,405.0
Population,2022,Both Sexes,Not stated,70-74 years,Kerry,Number,383.0
Population,2022,Both Sexes,Not stated,75-79 years,Kerry,Number,356.0
Population,2022,Both Sexes,Not stated,80-84 years,Kerry,Number,238.0
Population,2022,Both Sexes,Not stated,85-89 years,Kerry,Number,
Population,2022,Both Sexes,Not stated,95 years and over,Kerry,Number,
Population,2022,Both Sexes,Not stated,All Ages,Limerick City and County,Number,21287.0
Population,2022,Both Sexes,Not stated,0 - 14 years,Limerick City and County,Number,4709.0
Population,2022,Both Sexes,Not stated,15-19 years,Limerick City and County,Number,1218.0
Population,2022,Both Sexes,Not stated,20-24 years,Limerick City and County,Number,1260.0
Population,2022,Both Sexes,Not stated,25-29 years,Limerick City and County,Number,1341.0
Population,2022,Both Sexes,Not stated,30-34 years,Limerick City and County,Number,1630.0
Population,2022,Both Sexes,Not stated,35-39 years,Limerick City and County,Number,1968.0
Population,2022,Both Sexes,Not stated,40-44 years,Limerick City and County,Number,1920.0
Population,2022,Both Sexes,Not stated,45-49 years,Limerick City and County,Number,1511.0
