Statistic Label,Census Year,Sex,Smoking Tobacco Products,Age Group,County,UNIT,VALUE
Population,2022,Both Sexes,Smoke daily,75-79 years,Dun Laoghaire-Rathdown,Number,377.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Dun Laoghaire-Rathdown,Number,199.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Dun Laoghaire-Rathdown,Number,113.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Dun Laoghaire-Rathdown,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Fingal,Number,25081.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Fingal,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Fingal,Number,443.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Fingal,Number,1631.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Fingal,Number,2214.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Fingal,Number,2639.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Fingal,Number,3105.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Fingal,Number,3347.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Fingal,Number,2946.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Fingal,Number,2461.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Fingal,Number,2061.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Fingal,Number,1679.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Fingal,Number,1158.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Fingal,Number,702.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Fingal,Number,419.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Fingal,Number,147.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Fingal,Number,91.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Fingal,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,South Dublin,Number,27413.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,South Dublin,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,South Dublin,Number,448.0
Population,2022,Both Sexes,Smoke daily,20-24 years,South Dublin,Number,1815.0
Population,2022,Both Sexes,Smoke daily,25-29 years,South Dublin,Number,2336.0
Population,2022,Both Sexes,Smoke daily,30-34 years,South Dublin,Number,2698.0
Population,2022,Both Sexes,Smoke daily,35-39 years,South Dublin,Number,3345.0
Population,2022,Both Sexes,Smoke daily,40-44 years,South Dublin,Number,3522.0
Population,2022,Both Sexes,Smoke daily,45-49 years,South Dublin,Number,2934.0
Population,2022,Both Sexes,Smoke daily,50-54 years,South Dublin,Number,2632.0
Population,2022,Both Sexes,Smoke daily,55-59 years,South Dublin,Number,2280.0
Population,2022,Both Sexes,Smoke daily,60-64 years,South Dublin,Number,1966.0
Population,2022,Both Sexes,Smoke daily,65-69 years,South Dublin,Number,1515.0
Population,2022,Both Sexes,Smoke daily,70-74 years,South Dublin,Number,1088.0
Population,2022,Both Sexes,Smoke daily,75-79 years,South Dublin,Number,501.0
Population,2022,Both Sexes,Smoke daily,80-84 years,South Dublin,Number,208.0
Population,2022,Both Sexes,Smoke daily,85-89 years,South Dublin,Number,
Population,2022,Both Sexes,Smoke daily,95 years and over,South Dublin,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Kildare,Number,20537.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Kildare,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Kildare,Number,407.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Kildare,Number,1547.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Kildare,Number,1854.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Kildare,Number,2056.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Kildare,Number,2517.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Kildare,Number,2604.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Kildare,Number,2276.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Kildare,Number,2044.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Kildare,Number,1722.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Kildare,Number,1295.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Kildare,Number,970.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Kildare,Number,625.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Kildare,Number,369.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Kildare,Number,143.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Kildare,Number,67.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Kildare,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Kilkenny,Number,8973.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Kilkenny,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Kilkenny,Number,177.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Kilkenny,Number,535.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Kilkenny,Number,715.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Kilkenny,Number,860.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Kilkenny,Number,972.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Kilkenny,Number,1058.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Kilkenny,Number,1034.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Kilkenny,Number,923.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Kilkenny,Number,824.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Kilkenny,Number,705.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Kilkenny,Number,501.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Kilkenny,Number,320.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Kilkenny,Number,201.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Kilkenny,Number,85.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Kilkenny,Number,52.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Kilkenny,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Laois,Number,8980.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Laois,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Laois,Number,180.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Laois,Number,557.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Laois,Number,719.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Laois,Number,865.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Laois,Number,1144.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Laois,Number,1187.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Laois,Number,970.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Laois,Number,976.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Laois,Number,721.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Laois,Number,605.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Laois,Number,447.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Laois,Number,291.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Laois,Number,191.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Laois,Number,73.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Laois,Number,35.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Laois,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Longford,Number,4514.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Longford,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Longford,Number,99.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Longford,Number,277.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Longford,Number,368.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Longford,Number,478.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Longford,Number,510.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Longford,Number,559.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Longford,Number,450.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Longford,Number,487.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Longford,Number,393.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Longford,Number,321.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Longford,Number,230.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Longford,Number,168.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Longford,Number,98.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Longford,Number,46.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Longford,Number,23.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Longford,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Louth,Number,13318.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Louth,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Louth,Number,264.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Louth,Number,856.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Louth,Number,1101.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Louth,Number,1306.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Louth,Number,1509.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Louth,Number,1616.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Louth,Number,1469.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Louth,Number,1406.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Louth,Number,1121.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Louth,Number,968.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Louth,Number,690.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Louth,Number,518.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Louth,Number,305.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Louth,Number,
Population,2022,Both Sexes,Smoke daily,85-89 years,Louth,Number,57.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Louth,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Meath,Number,18468.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Meath,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Meath,Number,355.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Meath,Number,1201.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Meath,Number,1456.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Meath,Number,1844.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Meath,Number,2286.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Meath,Number,2346.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Meath,Number,2217.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Meath,Number,1836.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Meath,Number,1584.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Meath,Number,1225.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Meath,Number,925.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Meath,Number,598.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Meath,Number,358.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Meath,Number,139.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Meath,Number,60.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Meath,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Offaly,Number,8350.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Offaly,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Offaly,Number,150.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Offaly,Number,540.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Offaly,Number,745.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Offaly,Number,851.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Offaly,Number,967.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Offaly,Number,987.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Offaly,Number,900.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Offaly,Number,813.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Offaly,Number,755.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Offaly,Number,619.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Offaly,Number,422.0
