smoking_status,sex,attained_age_group,broad_age_group,history_variable,n_unweighted,weighted_n,mean,sd,p05,p25,p50,p75,p95,minimum,maximum,weighting_status,fallback_level
current_unspecified,female,all,60-69,years_since_quitting,11,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,female,all,60-69,cigarettes_per_day,11,11.000000,10.181818,4.166970,5.000000,7.500000,10.000000,12.500000,16.000000,5.000000,17.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,female,all,60-69,smoking_duration,11,11.000000,44.636364,4.863594,38.000000,41.500000,44.000000,49.500000,50.000000,35.000000,50.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,female,all,60-69,pack_years_standard,11,11.000000,22.477273,8.784542,10.625000,16.500000,23.000000,27.375000,34.875000,10.250000,37.500000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,50-59,age_at_initiation,16,16.000000,19.937500,7.361782,13.500000,15.000000,17.000000,21.500000,35.250000,12.000000,36.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,50-59,years_since_quitting,16,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,50-59,cigarettes_per_day,16,16.000000,17.812500,10.054642,6.500000,15.000000,17.500000,20.000000,27.500000,2.000000,50.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,50-59,smoking_duration,16,16.000000,34.625000,8.204673,19.000000,31.500000,37.500000,40.000000,42.750000,16.000000,45.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,50-59,pack_years_standard,16,16.000000,30.371875,15.337894,11.175000,18.250000,31.125000,40.000000,48.375000,2.700000,67.500000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,60-69,age_at_initiation,13,13.000000,17.000000,7.000000,8.400000,15.000000,16.000000,18.000000,30.000000,3.000000,30.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,60-69,years_since_quitting,13,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,60-69,cigarettes_per_day,13,13.000000,21.230769,10.863961,6.400000,20.000000,20.000000,20.000000,39.000000,1.000000,45.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,60-69,smoking_duration,13,13.000000,46.769231,6.521169,35.600000,44.000000,47.000000,50.000000,56.400000,35.000000,57.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,male,all,60-69,pack_years_standard,13,13.000000,48.757692,26.212170,14.940000,36.750000,46.000000,52.500000,96.900000,2.850000,105.750000,unweighted_equal_weights,sex_broad_status
former,female,all,50-59,age_at_initiation,20,20.000000,18.300000,4.117996,14.000000,15.000000,18.000000,19.250000,27.150000,14.000000,30.000000,unweighted_equal_weights,sex_broad_status
former,female,all,50-59,age_at_stopping,20,20.000000,39.600000,9.875008,25.850000,31.500000,40.000000,46.250000,52.350000,23.000000,59.000000,unweighted_equal_weights,sex_broad_status
former,female,all,50-59,years_since_quitting,20,20.000000,14.000000,9.883532,0.000000,5.000000,14.000000,20.250000,30.100000,0.000000,32.000000,unweighted_equal_weights,sex_broad_status
former,female,all,50-59,cigarettes_per_day,20,20.000000,13.650000,5.869412,3.850000,10.000000,15.000000,20.000000,20.000000,1.000000,20.000000,unweighted_equal_weights,sex_broad_status
former,female,all,50-59,smoking_duration,20,20.000000,21.300000,9.171466,10.700000,15.000000,22.500000,25.000000,36.250000,5.000000,41.000000,unweighted_equal_weights,sex_broad_status
former,female,all,50-59,pack_years_standard,20,20.000000,14.920000,8.832393,3.067500,6.187500,17.250000,20.500000,27.187500,0.550000,30.750000,unweighted_equal_weights,sex_broad_status
former,female,all,60-69,age_at_initiation,15,15.000000,17.133333,4.206571,11.400000,14.000000,17.000000,19.500000,23.600000,10.000000,25.000000,unweighted_equal_weights,sex_broad_status
former,female,all,60-69,age_at_stopping,15,15.000000,42.466667,15.013645,19.700000,30.000000,45.000000,55.000000,60.600000,19.000000,62.000000,unweighted_equal_weights,sex_broad_status
former,female,all,60-69,years_since_quitting,15,15.000000,21.733333,15.224354,1.700000,10.000000,18.000000,32.500000,43.100000,1.000000,48.000000,unweighted_equal_weights,sex_broad_status
former,female,all,60-69,cigarettes_per_day,15,15.000000,17.200000,14.842988,1.000000,7.000000,20.000000,20.000000,39.000000,1.000000,60.000000,unweighted_equal_weights,sex_broad_status
former,female,all,60-69,smoking_duration,15,15.000000,25.333333,12.686701,8.500000,14.500000,23.000000,37.500000,40.500000,5.000000,44.000000,unweighted_equal_weights,sex_broad_status
former,female,all,60-69,pack_years_standard,15,15.000000,28.143333,33.734154,0.775000,5.150000,15.000000,37.500000,79.500000,0.250000,132.000000,unweighted_equal_weights,sex_broad_status
